,CPI,M2,CPI_Growth,M2_Growth
1988-12-31,120.3,2977.9,1.0865129869103818,0.8724155660338795
1989-03-31,121.66666666666667,2994.533333333333,1.1296441933748014,0.5570050064923393
1989-06-30,123.63333333333333,3015.1666666666665,1.6035130913054196,0.6866703631748905
1989-09-30,124.60000000000001,3073.1,0.7788410525916944,1.9031716298215429
1989-12-31,125.86666666666667,3133.2999999999997,1.0114539249883592,1.9399938144104567
1990-03-31,128.03333333333333,3178.7000000000003,1.7067501080513026,1.4385545923691012
1990-06-30,129.29999999999998,3205.2999999999997,0.9844639094062302,0.8333381559145536
1990-09-30,131.53333333333333,3240.366666666667,1.7125019142593345,1.088080238919531
1990-12-31,133.76666666666665,3264.566666666667,1.6836683684356757,0.7440541018885583
1991-03-31,134.76666666666668,3304.7000000000003,0.7447899373853595,1.2218664481110864
1991-06-30,135.56666666666666,3342.433333333333,0.5918636266454058,1.1353387018800731
1991-09-30,136.6,3355.3333333333335,0.759342289162035,0.3852035041839841
1991-12-31,137.73333333333332,3365.933333333333,0.8262501440683856,0.31541699842563276
1992-03-31,138.66666666666666,3395.0333333333333,0.6753523015779805,0.8608289652478618
1992-06-30,139.73333333333332,3397.2333333333336,0.7662872745568983,0.06477955548263026
1992-09-30,140.79999999999998,3401.0,0.7604599385219402,0.11081311474381295
1992-12-31,142.03333333333333,3425.0,0.8721328113814764,0.7031965689130004
1993-03-31,143.0666666666667,3415.1,0.7248950250677844,-0.2894696543293662
1993-06-30,144.1,3430.2000000000003,0.7196780917041679,0.4411793344949899
1993-09-30,144.76666666666668,3446.633333333333,0.4615747867190656,0.47793406696783336
1993-12-31,145.96666666666667,3467.1,0.8255034266576367,0.5920600481845284
1994-03-31,146.70000000000002,3476.9,0.5011400009693467,0.28225825191139364
1994-06-30,147.53333333333333,3483.866666666667,0.566445379990288,0.20016958839281784
1994-09-30,148.9,3486.6666666666665,0.922080074112408,0.08033818982564611
1994-12-31,149.76666666666668,3485.9666666666667,0.580358771804157,-0.020078497430908726
1995-03-31,150.86666666666667,3491.133333333333,0.7317917123322637,0.1481035849012713
1995-06-30,152.1,3524.1,0.8141754733919093,0.9398663672442353
1995-09-30,152.86666666666667,3586.1666666666665,0.5027882490447944,1.7458766627447275
1995-12-31,153.70000000000002,3620.933333333333,0.5436568788855567,0.9647968350440905
1996-03-31,155.06666666666666,3665.5333333333333,0.8852481431849135,1.2242025949028346
1996-06-30,156.4,3709.933333333333,0.8561696134811392,1.2040061563229898
1996-09-30,157.29999999999998,3744.8333333333335,0.5737981953020999,0.9363205190078716
1996-12-31,158.66666666666666,3795.5,0.8650755499078677,1.3439042278648117
1997-03-31,159.63333333333333,3847.366666666667,0.6073953117143205,1.357277711815108
1997-06-30,160.0,3890.7333333333336,0.22942965533729875,1.1208725836723943
1997-09-30,160.79999999999998,3951.4666666666667,0.4987541511039417,1.5489160582584205
1997-12-31,161.66666666666666,4013.3333333333335,0.5375245524507299,1.5535333200419998
1998-03-31,162.0,4086.4666666666667,0.2059732963010319,1.805854978869803
1998-06-30,162.53333333333333,4162.900000000001,0.3286773706623336,1.8531245784460637
1998-09-30,163.36666666666667,4233.400000000001,0.5114054308385185,1.6793505918210272
1998-12-31,164.13333333333333,4343.366666666667,0.4681942394796579,2.564432433234387
1999-03-31,164.73333333333332,4420.466666666667,0.3648899244210746,1.7595494173896498
1999-06-30,165.96666666666667,4485.166666666667,0.7458960093627454,1.4530384516861616
1999-09-30,167.20000000000002,4552.3,0.7403735670574285,1.4856944022008989
1999-12-31,168.43333333333334,4614.599999999999,0.7349322979152362,1.3592590559881046
2000-03-31,170.1,4686.733333333334,0.9846475772062213,1.5510632055379503
